phase,a_cmd_us,b_cmd_us,n,t_start_rel,thrust_n_mean,thrust_n_sem,torque_nm_mean,torque_nm_sem,voltage_v_mean,voltage_v_sem,current_a_mean,current_a_sem,run_dir
A1700_B1800,1700,1800,126,0.0,12.01078215873016,0.037772793455369706,0.03536555555555545,0.0007502427590659333,11.263120967741935,0.00560972368615688,18.10814516129032,0.013466438421082427,raw/2026-07-31\A1700_B1000-2000_2026-07-31_025921
A1700_B1900,1700,1900,126,0.0,13.478893269841269,0.08988692396575375,0.06780999999999995,0.001033164348701877,11.118322580645161,0.005009570546562683,21.99290322580645,0.0098778098603058,raw/2026-07-31\A1700_B1000-2000_2026-07-31_025921
A1700_B2000,1700,2000,126,0.0,14.855059936507937,0.11475580173238359,0.09887349206349202,0.0011381268951343114,10.96668,0.004724126135269414,26.012960000000007,0.009301421327392779,raw/2026-07-31\A1700_B1000-2000_2026-07-31_025921
A1800_B1000,1800,1000,126,0.0,7.189786474669708,0.05776232766129314,-0.1206084497671324,0.0010203416103264993,11.685056,0.003926704339231812,10.12824,0.009362288112938927,raw/2026-07-31\A1800_B1000-2000_2026-07-31_030736
A1800_B1100,1800,1100,126,0.0,7.275524569907803,0.07270734036815976,-0.1120608307195133,0.0013703934953412389,11.638984,0.00436938002540996,10.384720000000002,0.009980998721764821,raw/2026-07-31\A1800_B1000-2000_2026-07-31_030736
A1800_B1200,1800,1200,124,0.0,7.758942260640009,0.03207672656237202,-0.10212009851265207,0.0026984835342467968,11.588072580645163,0.004871401223497268,10.93290322580645,0.009712476931781377,raw/2026-07-31\A1800_B1000-2000_2026-07-31_030736
A1800_B1300,1800,1300,126,0.0,8.286183300066533,0.02981704062808006,-0.08840210056078313,0.002727513761232431,11.545176000000001,0.003794156185674269,11.70344,0.009376775702801321,raw/2026-07-31\A1800_B1000-2000_2026-07-31_030736
A1800_B1400,1800,1400,125,0.0,8.803767744510978,0.02124057407644091,-0.07306222754491011,0.0007474743711217606,11.506854838709678,0.0044746524148795395,12.58725806451613,0.01097904610216059,raw/2026-07-31\A1800_B1000-2000_2026-07-31_030736
A1800_B1500,1800,1500,126,0.0,9.515770601653834,0.02473154521654856,-0.05922749738617997,0.0009530011208316463,11.460976,0.004120389333311177,13.74016,0.008368130018110386,raw/2026-07-31\A1800_B1000-2000_2026-07-31_030736
A1800_B1600,1800,1600,123,0.0,10.280810671340245,0.023960815108815016,-0.04365045518718652,0.0012233065499738748,11.402528000000002,0.004845557672888681,15.029440000000003,0.011567643415732888,raw/2026-07-31\A1800_B1000-2000_2026-07-31_030736
A1800_B1700,1800,1700,125,0.0,11.501207744510976,0.020365906361747906,-0.0213182275449101,0.0007884108966366992,11.318717741935485,0.004224498636973215,17.321129032258064,0.010004070557195236,raw/2026-07-31\A1800_B1000-2000_2026-07-31_030736
A1800_B1800,1800,1800,126,0.0,12.950921395304627,0.05065122235471427,0.012399486740804093,0.0008078862989980958,11.191088000000002,0.005472653611218884,20.71312,0.009646939009761825,raw/2026-07-31\A1800_B1000-2000_2026-07-31_030736
A1800_B1900,1800,1900,126,0.0,14.437469014352247,0.08109786458167526,0.04121694705826439,0.0009805621559072018,11.056232,0.005179439949796538,24.474639999999997,0.011060854543199038,raw/2026-07-31\A1800_B1000-2000_2026-07-31_030736
A1800_B2000,1800,2000,126,0.0,15.021040442923674,0.1515214848906646,0.07099472483604218,0.001112560732373723,10.893153225806449,0.004324347302217596,28.730725806451613,0.011976884254800237,raw/2026-07-31\A1800_B1000-2000_2026-07-31_030736
