a_us,b_us,n,thrust_N,thrust_s,thrust_sem,thrust_sem_corr,thrust_tau,thrust_neff,thrust_drift,torque_Nm,torque_s,torque_sem_corr,torque_tau,flags,run
1500,2000,151,14.124230823121968,0.926652151028973,0.07540988258028476,0.07540988258028476,1.0,151.0,0.13180384149313193,0.1325926425295105,0.029455537638477157,0.00239705765770922,1.0,,A1500_B1000-2000_2026-07-31_024313
1600,1000,151,4.469580834437086,0.651257267876891,0.05299856482890512,0.05299856482890512,1.0,151.0,0.03758234824601637,-0.07450907284768216,0.012424191313776705,0.0010110663500716372,1.0,,A1600_B1000-2000_2026-07-31_025055
1600,1100,148,4.6033735675675675,0.6078311634777566,0.04996341386419013,0.04996341386419013,1.0,148.0,0.021220393896807438,-0.06728891891891897,0.013304652919167177,0.0010936357331801747,1.0,,A1600_B1000-2000_2026-07-31_025055
1600,1200,151,5.280421894039734,0.6081169937978179,0.049487859113527696,0.049487859113527696,1.0,151.0,0.04556399421384673,-0.05532364238410601,0.014562663560555295,0.0011850927534547218,1.0,,A1600_B1000-2000_2026-07-31_025055
1600,1300,151,5.936117258278146,0.5848545937288512,0.047594791843583444,0.047594791843583444,1.0,151.0,0.07570540771813186,-0.041456092715231846,0.02655307650658733,0.0021608587205928383,1.0,,A1600_B1000-2000_2026-07-31_025055
1600,1400,151,6.733547721854304,0.7537222871728123,0.06133704984198362,0.06133704984198362,1.0,151.0,0.23908921017101245,-0.023144834437086138,0.034962679566537896,0.009214269868331296,10.487920411389958,,A1600_B1000-2000_2026-07-31_025055
1600,1500,151,7.462117258278145,0.6334491317165145,0.05154935926095115,0.05154935926095115,1.0,151.0,0.015332013311881172,-0.016469337748344415,0.030635220464227647,0.00249305888456985,1.0,,A1600_B1000-2000_2026-07-31_025055
1600,1600,150,8.385852666666667,0.6189535262087648,0.05053734379026161,0.05053734379026161,1.0,150.0,0.05869497649824238,0.0004433333333332892,0.014299944462588294,0.0011675855761159712,1.0,,A1600_B1000-2000_2026-07-31_025055
1600,1700,148,9.673866810810813,0.6440567878197955,0.052941141842357875,0.052941141842357875,1.0,148.0,0.04681234230764179,0.024778648648648604,0.01301143655230367,0.0010695334962933165,1.0,,A1600_B1000-2000_2026-07-31_025055
1600,1800,151,11.172594079470198,0.740357873907581,0.06024946931463428,0.06024946931463428,1.0,151.0,0.12037276143120595,0.05324589403973505,0.011858533314117346,0.0009650337548982004,1.0,,A1600_B1000-2000_2026-07-31_025055
1600,1900,151,12.878620569536425,0.8086122795998382,0.06580393407589862,0.06580393407589862,1.0,151.0,0.085834491598472,0.08733198675496687,0.014071150013170806,0.001145093948235605,1.0,,A1600_B1000-2000_2026-07-31_025055
1600,2000,151,14.234766264900662,1.2430760066909008,0.10116009076203956,0.10116009076203956,1.0,151.0,0.09955025642523022,0.11492139072847678,0.014165963623640768,0.001152809770429093,1.0,,A1600_B1000-2000_2026-07-31_025055
1700,1000,151,5.675793721854306,0.33767889014222097,0.027479918356839366,0.027479918356839366,1.0,151.0,0.044508089636869,-0.09616350993377484,0.007748502668143956,0.0006305642044093086,1.0,,A1700_B1000-2000_2026-07-31_025921
