seg_id,kind,a_us,b_us,sweep,planned_dwell_s,min_dwell_s,max_dwell_s,t_mono_start,t_mono_end,actual_dwell_s,n_loadcell,dwell_reason,thrust_mean_n,thrust_sem_n
115,ramp_down,1350,1875,2,0.05,0.05,0.05,343263.643735,343263.694577,0.050842,3,planned,12.779092,
116,ramp_down,1300,1750,2,0.05,0.05,0.05,343263.694757,343263.747242,0.052486,3,planned,13.455909,
117,ramp_down,1250,1625,2,0.05,0.05,0.05,343263.747368,343263.799855,0.052487,3,planned,11.445127,
118,ramp_down,1200,1500,2,0.05,0.05,0.05,343263.799983,343263.850491,0.050507,2,planned,9.368947,
119,ramp_down,1150,1375,2,0.05,0.05,0.05,343263.850622,343263.903068,0.052447,3,planned,8.971475,
120,ramp_down,1100,1250,2,0.05,0.05,0.05,343263.90319,343263.954528,0.051337,2,planned,7.614859,
121,ramp_down,1050,1125,2,0.05,0.05,0.05,343263.954705,343264.005496,0.050791,3,planned,4.943891,
122,ramp_down,1000,1000,2,0.05,0.05,0.05,343264.005691,343264.057078,0.051386,2,planned,4.656966,
123,chirp,1400,1400,0,0.5,0.5,0.5,343264.057216,343264.559545,0.502329,26,planned,3.940465,
124,chirp,1000,1000,0,0.5,0.5,0.5,343264.559744,343265.061277,0.501532,25,planned,0.774128,
125,chirp,1400,1400,0,0.5,0.5,0.5,343265.061423,343265.563227,0.501804,25,planned,2.983509,
126,chirp,1000,1000,0,0.5,0.5,0.5,343265.563467,343266.063635,0.500168,25,planned,0.682012,
127,chirp,1400,1400,0,0.5,0.5,0.5,343266.063865,343266.564755,0.50089,25,planned,3.068412,
128,chirp,1000,1000,0,0.5,0.5,0.5,343266.564999,343267.065806,0.500807,25,planned,0.823389,
129,idle_post,1000,1000,0,10.0,10.0,10.0,343267.06598,343277.066417,10.000437,500,planned,0.000206,0.001302
