t_mono,dev_t,seg_id,voltage_v,current_a,remaining_pct
342993.066943,,39,12.097,6.266,87
342993.119681,,39,12.097,6.266,87
342993.224895,,39,12.097,6.266,87
342993.329839,,39,12.097,6.266,87
342993.435278,,39,12.097,6.266,87
342993.540399,,39,12.097,6.266,87
342993.645622,,39,12.096,6.266,87
342993.751126,,39,12.096,6.266,87
342993.856106,,39,12.096,6.266,87
342993.961694,,39,12.096,6.266,87
342994.066665,,39,12.096,6.266,87
342994.119774,,39,12.096,6.267,87
342994.22502,,39,12.096,6.267,87
342994.330172,,39,12.095,6.267,87
342994.435232,,39,12.095,6.267,87
342994.540698,,39,12.095,6.267,87
342994.64563,,39,12.095,6.267,87
342994.751006,,39,12.095,6.267,87
342994.856451,,40,12.081,6.568,87
342994.961536,,40,12.068,6.859,87
342995.067033,,40,12.059,7.052,87
342995.119466,,40,12.056,7.123,87
342995.224978,,40,12.051,7.227,87
342995.329885,,40,12.048,7.295,87
342995.435097,,40,12.045,7.341,87
342995.540601,,40,12.044,7.371,87
342995.645636,,40,12.043,7.39,87
342995.751317,,40,12.042,7.403,87
342995.856324,,40,12.042,7.412,87
342995.961883,,40,12.041,7.417,87
342996.067056,,40,12.041,7.421,87
342996.119629,,40,12.041,7.422,87
342996.22482,,40,12.04,7.425,87
342996.329972,,40,12.04,7.426,87
342996.43534,,40,12.04,7.427,87
342996.540822,,40,12.04,7.427,87
342996.645564,,40,12.04,7.428,87
342996.751082,,40,12.039,7.428,87
342996.856605,,40,12.039,7.429,87
342996.961686,,40,12.039,7.429,87
342997.066625,,40,12.039,7.429,87
342997.172355,,40,12.039,7.429,87
342997.224959,,40,12.038,7.429,87
342997.330174,,40,12.038,7.429,87
342997.435558,,40,12.038,7.429,87
342997.540882,,40,12.038,7.43,87
342997.645928,,40,12.038,7.43,87
342997.751101,,40,12.038,7.43,87
342997.856166,,40,12.037,7.43,87
342997.961714,,40,12.037,7.43,87
342998.066993,,40,12.037,7.43,87
342998.119788,,40,12.037,7.43,87
342998.224838,,40,12.037,7.43,87
342998.330439,,40,12.037,7.43,87
342998.435494,,40,12.036,7.431,87
342998.540637,,40,12.036,7.431,87
342998.645804,,40,12.036,7.431,87
342998.751005,,40,12.036,7.431,87
342998.85621,,41,12.135,5.214,87
342998.961744,,41,12.218,3.382,87
342999.066924,,41,12.264,2.345,87
342999.119683,,41,12.28,2.001,87
342999.224511,,41,12.301,1.535,87
342999.329887,,41,12.313,1.251,87
342999.435084,,41,12.321,1.076,87
342999.540687,,41,12.326,0.966,87
342999.645675,,41,12.329,0.897,87
342999.750946,,41,12.331,0.852,87
342999.856089,,41,12.333,0.823,87
342999.961369,,41,12.333,0.804,87
343000.066792,,41,12.334,0.791,87
343000.119678,,41,12.334,0.787,87
343000.225011,,41,12.334,0.78,87
343000.32998,,41,12.335,0.776,87
343000.435476,,41,12.335,0.773,87
343000.540943,,41,12.335,0.772,87
343000.645634,,41,12.335,0.77,87
