run,phase,a_us,b_us,n,thrust_N,thrust_std,torque_Nm,voltage_V,current_A
A1200_B1000-2000_2026-07-31_021641,A1200_B1500,1200,1500,149,4.614992040268457,0.4482051055877483,0.041837382550335554,11.654979729729728,4.496824324324324
A1200_B1000-2000_2026-07-31_021641,A1200_B1600,1200,1600,151,5.640198582781458,0.38812455403429785,0.05821344370860926,11.581926666666666,6.097799999999999
A1200_B1000-2000_2026-07-31_021641,A1200_B1700,1200,1700,151,7.067595933774835,0.39661240804997633,0.07977635761589402,11.478261744966442,8.513422818791947
A1200_B1000-2000_2026-07-31_021641,A1200_B1800,1200,1800,151,8.653304543046358,0.4078778529994166,0.10547172185430462,11.354892617449664,11.749194630872482
A1200_B1000-2000_2026-07-31_021641,A1200_B1900,1200,1900,148,10.360241405405406,0.46876395421158273,0.13397324324324322,11.203662162162162,15.73635135135135
A1200_B1000-2000_2026-07-31_021641,A1200_B2000,1200,2000,151,11.979264807947022,0.360823874889079,0.16147834437086092,11.034326666666665,19.980733333333333
A1300_B1000-2000_2026-07-31_022512,A1300_B1000,1300,1000,151,1.8178854740849433,0.5750279347476078,-0.03214293267769103,11.870926174496644,1.1825503355704696
A1300_B1000-2000_2026-07-31_022512,A1300_B1100,1300,1100,151,2.1148192489193804,0.6842124753118056,-0.02449392605517447,11.85520945945946,1.5141891891891892
A1300_B1000-2000_2026-07-31_022512,A1300_B1200,1300,1200,148,2.7518646221071372,0.705419321727697,-0.012330689971408581,11.823721088435374,2.205986394557823
A1300_B1000-2000_2026-07-31_022512,A1300_B1300,1300,1300,151,3.519057659515407,0.7552407171580935,0.0013007759315805003,11.790413333333333,3.1413333333333333
A1300_B1000-2000_2026-07-31_022512,A1300_B1400,1300,1400,150,4.346020838323354,0.7860282478384604,0.012933093812375203,11.748993288590603,4.2344966442953025
A1300_B1000-2000_2026-07-31_022512,A1300_B1500,1300,1500,151,5.2151636197803075,0.8416444747963224,0.02853918652760699,11.694979729729729,5.533243243243243
A1300_B1000-2000_2026-07-31_022512,A1300_B1600,1300,1600,151,6.219150374747194,0.7704749503638622,0.04524779579913017,11.630310810810812,7.131621621621622
A1300_B1000-2000_2026-07-31_022512,A1300_B1700,1300,1700,149,7.627708355101878,0.5893946648789704,0.0683054428056638,11.532533783783784,9.581216216216216
A1300_B1000-2000_2026-07-31_022512,A1300_B1800,1300,1800,151,9.175435142959115,0.6128817977213542,0.09465839182562023,11.40814,12.824
A1300_B1000-2000_2026-07-31_022512,A1300_B1900,1300,1900,151,10.84712388468097,0.5975469582821998,0.12363852427595136,11.258288590604026,16.771409395973155
A1300_B1000-2000_2026-07-31_022512,A1300_B2000,1300,2000,152,12.342580838323354,0.5723780495257896,0.1498544096018489,11.100375838926174,20.80805369127517
A1400_B1000-2000_2026-07-31_023421,A1400_B1000,1400,1000,151,3.253984225165563,0.7477092315546036,-0.04888398675496692,11.829456375838927,2.335167785234899
A1400_B1000-2000_2026-07-31_023421,A1400_B1100,1400,1100,148,3.5340396216216217,0.7484594529937802,-0.041925243243243274,11.809885135135136,2.6458108108108105
A1400_B1000-2000_2026-07-31_023421,A1400_B1200,1400,1200,151,4.155911377483444,0.8640479544017283,-0.029678688741721884,11.7845,3.331733333333333
A1400_B1000-2000_2026-07-31_023421,A1400_B1300,1400,1300,151,5.006374953642384,0.8159424302434054,-0.016261470198675524,11.74676,4.2447333333333335
A1400_B1000-2000_2026-07-31_023421,A1400_B1400,1400,1400,151,5.705672966887418,0.896527347229093,-0.0028839867549669165,11.696228187919463,5.329261744966443
A1400_B1000-2000_2026-07-31_023421,A1400_B1500,1400,1500,151,6.598076940397352,0.9787609012880868,0.011996807947019838,11.647668918918919,6.6187162162162165
