# selected servo A
#META fw=tvc_char 2.1 test=B axis=0 servo_hz=333 neutral_us=1520 pulse_min=500 pulse_max=2500 win_lo=1370 win_hi=1690 pin_a=18 pin_b=19
#META imu_addr=0x69 who_am_i=0xEA gyro_cfg1=0x3F accel_cfg=0x39 gyro_div=0 gyro_lsb_per_dps=16.4000 acc_lsb_per_g=16384.0
#META i2c_err_at_start=0 buffered=1
#META imu_alive=1 imu_pass=0 imu_rate_hz=1907 g_mag=1.0454
#META gyro_bias_dps=2.3306,1.3877,-1.7717 gyro_noise_dps=0.1920,0.1828,0.1872 acc_noise_g=0.00390,0.00427,0.00414
#META limits_source=user axis_lo=1370 axis_hi=1690 axis_center=1520 axis_half=150
#WARN IMU health check did not pass -- see the health block above; this run is suspect
#META log_hz=1000 pre_ms=200 post_ms=2000 n=2200 arm_ms=1800 center_us=1520 half_travel_us=150
#COLS rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
S,168001,pre,0,0,1527,1520,-360,-904,-17072,34,28,-30,0
S,169001,pre,0,0,1527,1520,-384,-960,-17080,37,25,-29,0
S,170001,pre,0,0,1527,1520,-424,-880,-17000,37,18,-35,0
S,171001,pre,0,0,1527,1520,-376,-880,-17160,39,19,-33,0
S,172001,pre,0,0,1527,1520,-336,-880,-17088,42,22,-27,0
S,173001,pre,0,0,1527,1520,-432,-1008,-17064,41,19,-30,0
S,174001,pre,0,0,1527,1520,-392,-880,-17160,44,25,-31,0
S,175001,pre,0,0,1527,1520,-336,-920,-17184,40,24,-30,0
S,176001,pre,0,0,1527,1520,-352,-912,-17088,41,27,-32,0
S,177001,pre,0,0,1527,1520,-480,-928,-17104,40,19,-29,0
S,178001,pre,0,0,1527,1520,-272,-952,-17072,39,22,-32,0
S,179001,pre,0,0,1527,1520,-480,-944,-17128,45,23,-33,0
S,180001,pre,0,0,1527,1520,-472,-872,-17192,37,19,-30,0
S,181001,pre,0,0,1527,1520,-456,-824,-17192,38,23,-28,0
S,182001,pre,0,0,1527,1520,-392,-920,-17080,35,24,-34,0
S,183001,pre,0,0,1527,1520,-368,-936,-17128,39,24,-29,0
S,184001,pre,0,0,1527,1520,-224,-896,-17040,44,29,-26,0
S,185001,pre,0,0,1527,1520,-456,-928,-17104,40,27,-32,0
S,186001,pre,0,0,1527,1520,-336,-1016,-17072,37,28,-30,0
S,187001,pre,0,0,1527,1520,-456,-912,-17224,38,20,-31,0
S,188001,pre,0,0,1527,1520,-432,-920,-17088,42,25,-33,0
S,189001,pre,0,0,1527,1520,-368,-904,-17112,43,22,-25,0
S,190001,pre,0,0,1527,1520,-320,-936,-17136,38,23,-28,0
S,191001,pre,0,0,1527,1520,-432,-976,-17112,44,24,-25,0
S,192001,pre,0,0,1527,1520,-272,-920,-17168,40,23,-27,0
S,193001,pre,0,0,1527,1520,-312,-888,-17128,37,22,-27,0
S,194001,pre,0,0,1527,1520,-408,-800,-17152,40,22,-32,0
S,195001,pre,0,0,1527,1520,-416,-1008,-17112,37,25,-30,0
S,196001,pre,0,0,1527,1520,-352,-912,-17056,41,21,-31,0
S,197001,pre,0,0,1527,1520,-392,-1040,-17040,38,24,-29,0
S,198001,pre,0,0,1527,1520,-384,-936,-17176,36,24,-26,0
S,199001,pre,0,0,1527,1520,-392,-944,-17024,41,22,-28,0
S,200046,post,0,0,1527,1520,-368,-1000,-17072,35,23,-33,0
S,201000,post,0,0,1527,1520,-448,-920,-17024,36,24,-26,0
S,202000,post,0,0,1527,1520,-336,-952,-17080,36,22,-32,0
S,203001,post,0,0,1527,1520,-368,-896,-17064,37,21,-29,0
S,204000,post,0,0,1527,1520,-296,-904,-17184,42,26,-27,0
S,205000,post,0,0,1527,1520,-320,-912,-17064,37,23,-26,0
S,206000,post,0,0,1527,1520,-408,-912,-17032,41,29,-28,0
S,207000,post,0,0,1527,1520,-320,-1000,-17128,35,29,-29,0
S,208000,post,0,0,1527,1520,-264,-920,-17024,37,23,-25,0
S,209000,post,0,0,1527,1520,-400,-920,-16944,40,24,-27,0
S,210000,post,0,0,1527,1520,-96,-816,-17024,38,27,-22,0
S,211000,post,0,0,1527,1520,216,-864,-17016,42,19,-33,0
S,212001,post,0,0,1527,1520,-400,-720,-17320,42,26,-28,0
S,213000,post,0,0,1527,1520,-3504,-1256,-17320,39,17,-26,0
S,214001,post,0,0,1527,1520,2104,-408,-17096,41,24,-31,0
S,215000,post,0,0,1527,1520,-1400,-984,-16824,38,32,-34,0
S,216000,post,0,0,1527,1520,-1504,-1088,-16792,41,21,-44,0
S,217000,post,0,0,1527,1520,672,272,-17248,42,20,-38,0
S,218000,post,0,0,1527,1520,1168,-1888,-17040,38,28,-16,0
S,219000,post,0,0,1527,1520,-1624,-464,-17160,36,26,-8,0
S,220000,post,0,0,1527,1520,-1136,-592,-17744,36,18,-36,0
S,221001,post,0,0,1527,1520,8,-1016,-16992,47,26,-19,0
S,222000,post,0,0,1527,1520,-776,-16,-17168,39,24,-43,0
S,223000,post,0,0,1527,1520,-552,-1136,-16856,35,19,-43,0
S,224000,post,0,0,1527,1520,552,-1512,-16512,44,25,3,0
S,225000,post,0,0,1527,1520,-336,1064,-17224,37,23,-17,0
S,226000,post,0,0,1527,1520,-888,-1944,-17192,32,19,-48,0
S,227000,post,0,0,1527,1520,-832,-680,-17480,37,20,-27,0
S,228001,post,0,0,1527,1520,-832,-8,-17376,42,10,-53,0
